"";"code";"y"
"228";"ATC-A07FA02";"ATC-A"
"229";"ATC-S01GX09";"ATC-S"
"230";"ATC-J04AC01";"ATC-J"
"231";"ATC-S01FB01";"ATC-S"
"232";"ATC-J01XX01";"ATC-J"
"233";"ATC-G01AF05";"ATC-G"
"234";"ATC-J01DB05";"ATC-J"
"235";"ATC-A11CC06";"ATC-A"
"236";"ATC-A07AX03";"ATC-A"
"237";"ATC-D01BA01";"ATC-D"
"238";"ATC-G01AA51";"ATC-G"
"239";"ATC-G03AA07";"ATC-G"
"240";"ATC-D01AC11";"ATC-D"
"241";"ATC-D11AX05";"ATC-D"
"242";"ATC-D01AC02";"ATC-D"
"243";"ATC-A02BX02";"ATC-A"
"244";"ATC-D03AX";"ATC-D"
"245";"ATC-C09AA01";"ATC-C"
"246";"ATC-C09AA02";"ATC-C"
"247";"ATC-C09AA04";"ATC-C"
"248";"ATC-C07AB07";"ATC-C"
"249";"ATC-J04AK01";"ATC-J"
"250";"ATC-J04AK02";"ATC-J"
"251";"ATC-V08AB10";"ATC-V"
"252";"ATC-A07FA01";"ATC-A"
"253";"ATC-J01RA04";"ATC-J"
"254";"ATC-N05BA11";"ATC-N"
"255";"ATC-D07XC01";"ATC-D"
"256";"ATC-A01AA01";"ATC-A"
"257";"ATC-R05DB09";"ATC-R"
"258";"ATC-B01AB05";"ATC-B"
"259";"ATC-D02AX";"ATC-D"
"260";"ATC-N06AX16";"ATC-N"
"261";"ATC-J07BM03";"ATC-J"
"262";"ATC-P01BA01";"ATC-P"
"263";"ATC-N05CF01";"ATC-N"
"264";"ATC-J01MA14";"ATC-J"
"265";"ATC-G04BD04";"ATC-G"
"266";"ATC-J07BF03";"ATC-J"
"267";"ATC-G01AF19";"ATC-G"
"268";"ATC-P01AB07";"ATC-P"
"269";"ATC-M02AA15";"ATC-M"
"270";"ATC-S01FA04";"ATC-S"
"271";"ATC-M01AE09";"ATC-M"
"272";"ATC-D05AX52";"ATC-D"
"273";"ATC-L01BA01";"ATC-L"
"274";"ATC-L04AX03";"ATC-L"
"275";"ATC-M01AE02";"ATC-M"
"276";"ATC-S01EC04";"ATC-S"
"277";"ATC-S01ED51";"ATC-S"
"278";"ATC-J01GB06";"ATC-J"
"279";"ATC-J01GB01";"ATC-J"
"280";"ATC-R03AK10";"ATC-R"
"281";"ATC-H02AB04";"ATC-H"
"282";"ATC-A06AC01";"ATC-A"
"283";"ATC-D10AE01";"ATC-D"
"284";"ATC-J01FF01";"ATC-J"
"285";"ATC-N02AJ13";"ATC-N"
"286";"ATC-N02BF01";"ATC-N"
"287";"ATC-M03BX05";"ATC-M"
"288";"ATC-A02AX";"ATC-A"
"289";"ATC-N06AB06";"ATC-N"
"290";"ATC-A07EC02";"ATC-A"
"291";"ATC-A10AB05";"ATC-A"
"292";"ATC-A01AD11";"ATC-A"
"293";"ATC-J01CE02";"ATC-J"
"294";"ATC-P03AC51";"ATC-P"
"295";"ATC-R03AK07";"ATC-R"
"296";"ATC-A05BA";"ATC-A"
"297";"ATC-R01AD58";"ATC-R"
"298";"ATC-V08AB09";"ATC-V"
"299";"ATC-B01AC06";"ATC-B"
"300";"ATC-A02BC02";"ATC-A"
"301";"ATC-D02AB";"ATC-D"
"302";"ATC-B03AA10";"ATC-B"
"303";"ATC-A03AX58";"ATC-A"
"304";"ATC-B01AB10";"ATC-B"
"305";"ATC-J04BA02";"ATC-J"
"306";"ATC-N05AA06";"ATC-N"
"307";"ATC-R03AC12";"ATC-R"
"308";"ATC-N05BA12";"ATC-N"
"309";"ATC-V08AA05";"ATC-V"
"310";"ATC-R01AC01";"ATC-R"
"311";"ATC-J07BD01";"ATC-J"
"312";"ATC-N05AC01";"ATC-N"
"313";"ATC-N02CC04";"ATC-N"
"314";"ATC-N03AF01";"ATC-N"
"315";"ATC-C10AB05";"ATC-C"
"316";"ATC-D01AE16";"ATC-D"
"317";"ATC-S01GX04";"ATC-S"
"318";"ATC-J02AC02";"ATC-J"
"319";"ATC-D10AD01";"ATC-D"
"320";"ATC-B03AA07";"ATC-B"
"321";"ATC-D06BX01";"ATC-D"
"322";"ATC-R03AC13";"ATC-R"
"323";"ATC-B03BA01";"ATC-B"
"324";"ATC-R01AX06";"ATC-R"
"325";"ATC-J01FA01";"ATC-J"
"326";"ATC-V01AA02";"ATC-V"
"327";"ATC-S01ED01";"ATC-S"
"328";"ATC-S01XA18";"ATC-S"
"329";"ATC-D07AC19";"ATC-D"
"330";"ATC-A12AX";"ATC-A"
"331";"ATC-N02BE71";"ATC-N"
"332";"ATC-R03AK08";"ATC-R"
"333";"ATC-R02AA19";"ATC-R"
"334";"ATC-R06AX29";"ATC-R"
"335";"ATC-J01MA02";"ATC-J"
"336";"ATC-A03ED";"ATC-A"
"337";"ATC-L02AE04";"ATC-L"
"338";"ATC-D01AC07";"ATC-D"
"339";"ATC-R01AD59";"ATC-R"
"340";"ATC-D11AH01";"ATC-D"
"341";"ATC-A03AA04";"ATC-A"
"342";"ATC-J07AG01";"ATC-J"
"343";"ATC-V08AB07";"ATC-V"
"344";"ATC-N05AX12";"ATC-N"
"345";"ATC-V08AB11";"ATC-V"
"346";"ATC-A06AB58";"ATC-A"
"347";"ATC-G03AB03";"ATC-G"
"348";"ATC-S01AD09";"ATC-S"
"349";"ATC-J01CR05";"ATC-J"
"350";"ATC-A06AA51";"ATC-A"
"351";"ATC-V08CA04";"ATC-V"
"352";"ATC-S01XA08";"ATC-S"
"353";"ATC-N03AE01";"ATC-N"
"354";"ATC-A16AA01";"ATC-A"
"355";"ATC-N03AX18";"ATC-N"
"356";"ATC-G03GA01";"ATC-G"
"357";"ATC-C01AA05";"ATC-C"
"358";"ATC-C03DA01";"ATC-C"
"359";"ATC-H01AC01";"ATC-H"
"360";"ATC-R03BB04";"ATC-R"
"361";"ATC-M01AX01";"ATC-M"
"362";"ATC-N02AJ06";"ATC-N"
"363";"ATC-G01AF12";"ATC-G"
"364";"ATC-V08AB02";"ATC-V"
"365";"ATC-D06BB10";"ATC-D"
"366";"ATC-M09AX";"ATC-M"
"367";"ATC-L04AA06";"ATC-L"
"368";"ATC-C10AA03";"ATC-C"
"369";"ATC-G01AX11";"ATC-G"
"370";"ATC-S01AD03";"ATC-S"
"371";"ATC-G02BA03";"ATC-G"
"372";"ATC-C05AD01";"ATC-C"
"373";"ATC-L01XX05";"ATC-L"
"374";"ATC-S01EC01";"ATC-S"
"375";"ATC-P01BB01";"ATC-P"
"376";"ATC-J05AB14";"ATC-J"
"377";"ATC-G04CA02";"ATC-G"
"378";"ATC-N02CC01";"ATC-N"
"379";"ATC-A03AX04";"ATC-A"
"380";"ATC-M01AH01";"ATC-M"
"381";"ATC-L01BB02";"ATC-L"
"382";"ATC-A12CX";"ATC-A"
"383";"ATC-J01DD02";"ATC-J"
"384";"ATC-N06AA04";"ATC-N"
"385";"ATC-D01AC60";"ATC-D"
"386";"ATC-C09AA05";"ATC-C"
"387";"ATC-C05AX03";"ATC-C"
"388";"ATC-D10AD03";"ATC-D"
"389";"ATC-H02AA02";"ATC-H"
"390";"ATC-B03AA02";"ATC-B"
"391";"ATC-L04AD02";"ATC-L"
"392";"ATC-D10BX";"ATC-D"
"393";"ATC-L04AB01";"ATC-L"
"394";"ATC-G04CA01";"ATC-G"
"395";"ATC-A10AE05";"ATC-A"
"396";"ATC-A11CA01";"ATC-A"
"397";"ATC-B03XA02";"ATC-B"
"398";"ATC-R03DX03";"ATC-R"
"399";"ATC-A12CC02";"ATC-A"
"400";"ATC-S01BA13";"ATC-S"
"401";"ATC-R03AC19";"ATC-R"
"402";"ATC-A10AE06";"ATC-A"
"403";"ATC-S01AD02";"ATC-S"
"404";"ATC-H01AA02";"ATC-H"
"405";"ATC-J01MA01";"ATC-J"
"406";"ATC-P01AB02";"ATC-P"
"407";"ATC-G01AF01";"ATC-G"
"408";"ATC-R06AX22";"ATC-R"
"409";"ATC-A07EA06";"ATC-A"
"410";"ATC-V08CA09";"ATC-V"
"411";"ATC-L04AC05";"ATC-L"
"412";"ATC-L04AK02";"ATC-L"
"413";"ATC-L04AB04";"ATC-L"
"414";"ATC-N07BA01";"ATC-N"
"415";"ATC-R06AX23";"ATC-R"
"416";"ATC-B01AA03";"ATC-B"
"417";"ATC-A10AB06";"ATC-A"
"418";"ATC-G03DB01";"ATC-G"
"419";"ATC-C07AB04";"ATC-C"
"420";"ATC-N06AB05";"ATC-N"
"421";"ATC-A11BA";"ATC-A"
"422";"ATC-L04AX01";"ATC-L"
"423";"ATC-R01AX05";"ATC-R"
"424";"ATC-L03AX03";"ATC-L"
"425";"ATC-N05BA04";"ATC-N"
"426";"ATC-R05DA04";"ATC-R"
"427";"ATC-D01AC13";"ATC-D"
"428";"ATC-M01AC02";"ATC-M"
"429";"ATC-N05AF05";"ATC-N"
"430";"ATC-R03CC02";"ATC-R"
"431";"ATC-M01AX02";"ATC-M"
"432";"ATC-A02AD01";"ATC-A"
"433";"ATC-G03AC03";"ATC-G"
"434";"ATC-G03CA09";"ATC-G"
"435";"ATC-L02AE02";"ATC-L"
"436";"ATC-C03AA03";"ATC-C"
"437";"ATC-N05BA08";"ATC-N"
"438";"ATC-R03AK11";"ATC-R"
"439";"ATC-C02CA04";"ATC-C"
"440";"ATC-G04CB02";"ATC-G"
"441";"ATC-M04AC01";"ATC-M"
"442";"ATC-A11CC03";"ATC-A"
"443";"ATC-N06AB04";"ATC-N"
"444";"ATC-J07BM01";"ATC-J"
"445";"ATC-B01AF01";"ATC-B"
"446";"ATC-J01AA07";"ATC-J"
"447";"ATC-N02BF02";"ATC-N"
"448";"ATC-N02BG06";"ATC-N"
"449";"ATC-N02AA08";"ATC-N"
"450";"ATC-D11AH05";"ATC-D"
"451";"ATC-H02AB02";"ATC-H"
"452";"ATC-N06AB03";"ATC-N"
"453";"ATC-N06AB10";"ATC-N"
"454";"ATC-J01CF02";"ATC-J"
"455";"ATC-S01EE01";"ATC-S"
"456";"ATC-S01EC03";"ATC-S"
"457";"ATC-H01AC08";"ATC-H"
"458";"ATC-N03AX15";"ATC-N"
"459";"ATC-N07CA04";"ATC-N"
"460";"ATC-A09AA02";"ATC-A"
"461";"ATC-A10AC01";"ATC-A"
"462";"ATC-N05BA05";"ATC-N"
"463";"ATC-N05CD06";"ATC-N"
"464";"ATC-A01AB12";"ATC-A"
"465";"ATC-N02BE51";"ATC-N"
"466";"ATC-C07BB07";"ATC-C"
"467";"ATC-C08CA13";"ATC-C"
"468";"ATC-A04AA01";"ATC-A"
"469";"ATC-C07AG01";"ATC-C"
"470";"ATC-A07BA51";"ATC-A"
"471";"ATC-N02CC03";"ATC-N"
"472";"ATC-V07AB";"ATC-V"
"473";"ATC-A02BA01";"ATC-A"
"474";"ATC-A12BA01";"ATC-A"
"475";"ATC-V08AB05";"ATC-V"
"476";"ATC-A05AA02";"ATC-A"
"477";"ATC-D10BA01";"ATC-D"
"478";"ATC-C01BD01";"ATC-C"
"479";"ATC-V08BA02";"ATC-V"
"480";"ATC-R03AL03";"ATC-R"
"481";"ATC-R03AL01";"ATC-R"
"482";"ATC-B05BA03";"ATC-B"
"483";"ATC-B03AD03";"ATC-B"
"484";"ATC-R01AB08";"ATC-R"
"485";"ATC-V08DA05";"ATC-V"
"486";"ATC-G03DA04";"ATC-G"
"487";"ATC-G03HA01";"ATC-G"
"488";"ATC-G03CA04";"ATC-G"
"489";"ATC-S01CA03";"ATC-S"
"490";"ATC-M01AH05";"ATC-M"
"491";"ATC-G03GA08";"ATC-G"
"492";"ATC-G03BA03";"ATC-G"
"493";"ATC-S01BC05";"ATC-S"
"494";"ATC-C07AB12";"ATC-C"
"495";"ATC-G03DB06";"ATC-G"
"496";"ATC-B02BX05";"ATC-B"
"497";"ATC-N05AH03";"ATC-N"
"498";"ATC-N05AA02";"ATC-N"
"499";"ATC-G03CA03";"ATC-G"
"500";"ATC-D06BB04";"ATC-D"
"501";"ATC-R07AX30";"ATC-R"
"502";"ATC-D05AX02";"ATC-D"
"503";"ATC-N02AA05";"ATC-N"
"504";"ATC-R03BA08";"ATC-R"
"505";"ATC-S01CC02";"ATC-S"
"506";"ATC-N05AL01";"ATC-N"
"507";"ATC-C08CA01";"ATC-C"
"508";"ATC-N06AX26";"ATC-N"
"509";"ATC-J01RA02";"ATC-J"
"510";"ATC-B01AX05";"ATC-B"
"511";"ATC-L03AA10";"ATC-L"
"512";"ATC-A04AD01";"ATC-A"
"513";"ATC-C01BC04";"ATC-C"
"514";"ATC-N06AX03";"ATC-N"
"515";"ATC-C09CA06";"ATC-C"
"516";"ATC-S01GX05";"ATC-S"
"517";"ATC-A02AB01";"ATC-A"
"518";"ATC-A11GA01";"ATC-A"
"519";"ATC-L03AA02";"ATC-L"
"520";"ATC-D04AA10";"ATC-D"
"521";"ATC-A06AA01";"ATC-A"
"522";"ATC-J01XE01";"ATC-J"
"523";"ATC-P02DA01";"ATC-P"
"524";"ATC-N05AA01";"ATC-N"
"525";"ATC-M04AA01";"ATC-M"
"526";"ATC-G04BD11";"ATC-G"
"527";"ATC-N02CC06";"ATC-N"
"528";"ATC-B05XA19";"ATC-B"
"529";"ATC-R02AA15";"ATC-R"
"530";"ATC-A12BA05";"ATC-A"
"531";"ATC-C10AA05";"ATC-C"
"532";"ATC-C05CX";"ATC-C"
"533";"ATC-S01BC04";"ATC-S"
"534";"ATC-R03DX09";"ATC-R"
"535";"ATC-N06AX11";"ATC-N"
"536";"ATC-H01AC03";"ATC-H"
"537";"ATC-B01AF02";"ATC-B"
"538";"ATC-N04AA12";"ATC-N"
"539";"ATC-L01EL01";"ATC-L"
"540";"ATC-A06AC03";"ATC-A"
"541";"ATC-A11HA03";"ATC-A"
"542";"ATC-R07AX02";"ATC-R"
"543";"ATC-R07AX32";"ATC-R"
"544";"ATC-J01MA12";"ATC-J"
"545";"ATC-M01AG01";"ATC-M"
"546";"ATC-R05CB13";"ATC-R"
"547";"ATC-N02CC02";"ATC-N"
"548";"ATC-R03AK14";"ATC-R"
"549";"ATC-G03AD01";"ATC-G"
"550";"ATC-C09CA03";"ATC-C"
"551";"ATC-J01XB01";"ATC-J"
"552";"ATC-A10BH01";"ATC-A"
"553";"ATC-M03BA03";"ATC-M"
"554";"ATC-V03AC03";"ATC-V"
"555";"ATC-J01AA04";"ATC-J"
"556";"ATC-A10BK01";"ATC-A"
"557";"ATC-G02CA";"ATC-G"
"558";"ATC-N04AA01";"ATC-N"
"559";"ATC-M01AC01";"ATC-M"
"560";"ATC-C09DB01";"ATC-C"
"561";"ATC-M02AA10";"ATC-M"
"562";"ATC-C08CA04";"ATC-C"
"563";"ATC-J07AM01";"ATC-J"
"564";"ATC-L04AC03";"ATC-L"
"565";"ATC-M01AB01";"ATC-M"
"566";"ATC-L03AX13";"ATC-L"
"567";"ATC-H02AB08";"ATC-H"
"568";"ATC-J01MA06";"ATC-J"
"569";"ATC-N06BC01";"ATC-N"
"570";"ATC-P01BF05";"ATC-P"
"571";"ATC-R03BB06";"ATC-R"
"572";"ATC-R03DA04";"ATC-R"
"573";"ATC-S01ED05";"ATC-S"
"574";"ATC-N02CX06";"ATC-N"
"575";"ATC-D07BC04";"ATC-D"
"576";"ATC-N04BC01";"ATC-N"
"577";"ATC-N07CA01";"ATC-N"
"578";"ATC-N05AD01";"ATC-N"
"579";"ATC-L01BC02";"ATC-L"
"580";"ATC-R03BB54";"ATC-R"
"581";"ATC-G03AC08";"ATC-G"
"582";"ATC-G03GA06";"ATC-G"
"583";"ATC-G03DB08";"ATC-G"
"584";"ATC-S01EB01";"ATC-S"
"585";"ATC-S01EE04";"ATC-S"
"586";"ATC-N05CF02";"ATC-N"
"587";"ATC-C03EA01";"ATC-C"
"588";"ATC-A12BA51";"ATC-A"
"589";"ATC-N07BC01";"ATC-N"
"590";"ATC-C07AB02";"ATC-C"
"591";"ATC-N05BA21";"ATC-N"
"592";"ATC-N05BX03";"ATC-N"
"593";"ATC-S01EA05";"ATC-S"
"594";"ATC-B03AA06";"ATC-B"
"595";"ATC-M02AC";"ATC-M"
"596";"ATC-A16AX02";"ATC-A"
"597";"ATC-J02AC03";"ATC-J"
"598";"ATC-A10BJ05";"ATC-A"
"599";"ATC-M01CC01";"ATC-M"
"600";"ATC-A05BA01";"ATC-A"
"601";"ATC-N03AF02";"ATC-N"
"602";"ATC-J01CE08";"ATC-J"
"603";"ATC-C09DA04";"ATC-C"
"604";"ATC-B01AA12";"ATC-B"
"605";"ATC-R06AE05";"ATC-R"
"606";"ATC-D06AA02";"ATC-D"
"607";"ATC-L02BA01";"ATC-L"
"608";"ATC-N05AH04";"ATC-N"
"609";"ATC-J07BB03";"ATC-J"
"610";"ATC-R02AX";"ATC-R"
"611";"ATC-P02BA01";"ATC-P"
"612";"ATC-C09BA02";"ATC-C"
"613";"ATC-L02BB04";"ATC-L"
"614";"ATC-G04CA04";"ATC-G"
"615";"ATC-A10BA02";"ATC-A"
"616";"ATC-D10AX";"ATC-D"
"617";"ATC-C05CA03";"ATC-C"
"618";"ATC-V08AB04";"ATC-V"
"619";"ATC-A10BB12";"ATC-A"
"620";"ATC-C09CA04";"ATC-C"
"621";"ATC-N02BA71";"ATC-N"
"622";"ATC-V03AE01";"ATC-V"
"623";"ATC-R03CC03";"ATC-R"
"624";"ATC-L04AD01";"ATC-L"
"625";"ATC-G02CB03";"ATC-G"
"626";"ATC-J05AF01";"ATC-J"
"627";"ATC-C03CA02";"ATC-C"
"628";"ATC-J01DH51";"ATC-J"
"629";"ATC-H03AA03";"ATC-H"
"630";"ATC-J01FA02";"ATC-J"
"631";"ATC-C08DB01";"ATC-C"
"632";"ATC-N05AL03";"ATC-N"
"633";"ATC-N04BA02";"ATC-N"
"634";"ATC-D10AF52";"ATC-D"
"635";"ATC-G03DB04";"ATC-G"
"636";"ATC-B02BX06";"ATC-B"
